drug,ctrp_drug_name,ctrp_target,ctrp_target_description
"1s,3r-rsl-3","1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4
cil55a,CIL55A,,screening hit
sch-529074,SCH-529074,TP53,activator of mutant p53
stemregenin 1,StemRegenin 1,AHR,inhibitor of aryl hydrocarbon receptor
fqi-2,FQI-2,,inhibitor of LSF1-mediated transcription
ml210,ML210,,selectively kills engineered cells expressing mutant HRAS
darinaparsin,darinaparsin,,inducer of ROS; inhibitor of microtubule assembly
px-12,PX-12,TXN,inhibitor of thioredoxin-1
gant-61,GANT-61,,inhibitor of hedgehog signaling pathway
pl-di,PL-DI,,dimer of piperlongumine; inducer of ROS
tw-37,TW-37,BCL2;BCL2L1,inhibitor of BCL2 and BCL-xL
azd8055,AZD8055,MTOR,inhibitor of mTOR
chm-1,CHM-1,,inhibitor of tubulin polymerization
qs-11,QS-11,ARFGAP1,inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)
ml239,ML239,,ML239; inhibitor of breast cancer stem cell proliferation
salermide,salermide,SIRT1;SIRT2,inhibitor of sirtuin 1 and sirtuin 2
fumonisin b1,fumonisin B1,CERS1;CERS2;CERS3;CERS4;CERS5;CERS6,inhibitor of ceramide synthase
jq-1,JQ-1,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
brd-k51490254,BRD-K51490254,HDAC6;HDAC8,inhibitor of HDAC6 and HDAC8
brd-k85133207,BRD-K85133207,HDAC1,inhibitor of HDAC1
bms-345541,BMS-345541,IKBKB,inhibitor of IKK-2
cay10576,CAY10576,IKBKE,inhibitor of IKK-epsilon
repligen 136,Repligen 136,HDAC3,inhibitor of HDAC3
nintedanib,nintedanib,FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB,"inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs"
crizotinib,crizotinib,ALK;MET,inhibitor of c-MET and ALK
foretinib,foretinib,KDR;MET,inhibitor of MET and VEGFR2
regorafenib,regorafenib,BRAF;KDR;KIT;RET,"inhibitor of BRAF, RET, KIT, and VEGFR2"
wz8040,WZ8040,EGFR,inhibitor of EGFR targeting T790M resistance
osi-930,OSI-930,KDR;KIT,inhibitor of c-KIT and VEGFR2
mgcd-265,MGCD-265,FLT1;FLT3;KDR;MET,inhibitor of c-MET and VEGFRs
lenvatinib,lenvatinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
yk 4-279,YK 4-279,DHX9;ERG;ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity
cay10618,CAY10618,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
ku 0060648,KU 0060648,PRKDC,inhibitor of DNA-dependent protein kinase
narciclasine,narciclasine,RHOA,activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling
mln2238,MLN2238,PSMB5,inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site
isox,ISOX,HDAC6,inhibitor of HDAC6
lapatinib,lapatinib,EGFR;ERBB2,inhibitor of EGFR and HER2
brd-k29313308,BRD-K29313308,HDAC3,inhibitor of HDAC3
unc0321,UNC0321,EHMT2,inhibitor of G9a histone methyltransferase
sgx-523,SGX-523,MET,inhibitor of MET
erismodegib,erismodegib,,screening hit
alisertib,alisertib,AURKA;AURKB,inhibitor of aurora kinases A and B
azd6482,AZD6482,PIK3CB;PIK3CD,inhibitor of PI3K catalytic subunits beta and delta
ruxolitinib,ruxolitinib,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
bleomycin a2,bleomycin A2,,inducer of DNA damage
gdc-0941,GDC-0941,PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K kinase activity
sb-525334,SB-525334,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
pha-793887,PHA-793887,CDK1;CDK2;CDK4;CDK5;CDK7;CDK9,inhibitor of cyclin-dependent kinases
quizartinib,quizartinib,FLT3,inhibtor of VEGFR3
fingolimod,fingolimod,S1PR1,inhibitor of sphingosine 1-phosphate receptor
pazopanib,pazopanib,FLT1;FLT3;KDR;KIT;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFRB"
wz4002,WZ4002,EGFR,inhibitor of EGFR targeting T790M resistance
brd-k24690302,BRD-K24690302,HDAC1,inhibitor of HDAC1
brd-k70511574,BRD-K70511574,PLK1,inhibitor of polo-like kinase 1 (PLK1)
plx-4032,PLX-4032,BRAF,inhibitor of BRAF
brd-k48477130,BRD-K48477130,,screening hit
gsk461364,GSK461364,PLK1,inhibitor of polo-like kinase 1 (PLK1)
yl54,YL54,,stapled helical peptide
brd-k20514654,BRD-K20514654,,stapled helical peptide
brd-k55473186,BRD-K55473186,NOTCH1,stapled helical peptide targeting NOTCH1
brd-k28456706,BRD-K28456706,HNF4A,inhibitor of hepatocyte nuclear factor 4 alpha
stf-31,STF-31,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
ml334 diastereomer,ML334 diastereomer,KEAP1;NFE2L2,inhibitor of KEAP1-NFE2L2 protein-protein interaction
spautin-1,spautin-1,USP10;USP13,inhibitor of the deubiquitinase activity of USP13 and USP10
vaf-347,VAF-347,AHR,inhibitor of aryl hydrocarbon receptor
brd-a02303741,BRD-A02303741,DOT1L,inhibitor of histone methyltransferases
ml320,ML320,GSK3B,inhibitor of GSK3 beta
tigecycline,tigecycline,,analog of tetracycline
brd-k34099515,BRD-K34099515,,screening hit
pf-543,PF-543,SPHK1,inhibitor of sphingosine kinase-1
pf-573228,PF-573228,PTK2,inhibitor of focal adhesion kinase
ceranib-2,ceranib-2,ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B,inhibitor of ceramidase activity
fsc231,FSC231,PICK1,inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)
968,968,GLS,inhibitor of glutaminase
gsk4112,GSK4112,NR1D1,antagonist of Rev-ErbAalpha
etomoxir,etomoxir,CPT1A,inhibitor of carnitine palmitoyltransferase
hc-067047,HC-067047,TRPV4,inhibitor of cation channel TRPV4
ipr-456,IPR-456,PLAUR,inhibitor of the interaction of urokinase receptor with binding partners
kh-cb19,KH-CB19,CLK1;CLK4,inhibitor of CDC2-like kinases 1 and 4
leptomycin b,leptomycin B,XPO1,inhibitor of exportin 1
az-3146,AZ-3146,TTK,inhibitor of TTK protein kinase
vu0155056,VU0155056,PLD1;PLD2,inhibitor of phospholipase D1/D2
jq-1:unc0638 (2:1 mol/mol),JQ-1:UNC0638 (2:1 mol/mol),BRDT;EHMT1;EHMT2,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of EHMT2 and GLP methyltransferase
carboplatin:unc0638 (2:1 mol/mol),carboplatin:UNC0638 (2:1 mol/mol),EHMT1;EHMT2,inducer of DNA damage;inhibitor of EHMT2 and GLP methyltransferase
vorinostat:carboplatin (1:1 mol/mol),vorinostat:carboplatin (1:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inducer of DNA damage"
serdemetan:sch-529074 (1:1 mol/mol),serdemetan:SCH-529074 (1:1 mol/mol),MDM2;TP53,inhibitor of MDM2;activator of mutant p53
selumetinib:plx-4032 (8:1 mol/mol),selumetinib:PLX-4032 (8:1 mol/mol),MAP2K1;MAP2K2;BRAF,inhibitor of MEK1 and MEK2;inhibitor of BRAF
sirolimus:bortezomib (250:1 mol/mol),sirolimus:bortezomib (250:1 mol/mol),MTOR;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of mTOR;inhibitor of 26S proteasome
brd-k97651142,BRD-K97651142,,aphrocallistin derivative
vorapaxar,vorapaxar,F2R,antagonist of proteinase-activated receptor 1 (PAR1)
ch-55,Ch-55,RARA;RARB;RARG,agonist of retinoid acid receptors
brd-k79669418,BRD-K79669418,MDM2;MDM4,inhibitor of MDM4-p53 interaction
brd-k99584050,BRD-K99584050,,stapled helical peptide
brd-a71883111,BRD-A71883111,IDH1,putative inhibitor of IDH1 R132H
navitoclax:birinapant (1:1 mol/mol),navitoclax:birinapant (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;DIABLO;XIAP,"inhibitor of BCL2, BCL-xL, and BCL-W;SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)"
isox:bortezomib (250:1 mol/mol),ISOX:bortezomib (250:1 mol/mol),HDAC6;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HDAC6;inhibitor of 26S proteasome
selumetinib:gdc-0941 (4:1 mol/mol),selumetinib:GDC-0941 (4:1 mol/mol),MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity
selumetinib:tretinoin (2:1 mol/mol),selumetinib:tretinoin (2:1 mol/mol),MAP2K1;MAP2K2;RARA;RARB;RARG,inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors
selumetinib:vorinostat (8:1 mol/mol),selumetinib:vorinostat (8:1 mol/mol),MAP2K1;MAP2K2;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
selumetinib:jq-1 (4:1 mol/mol),selumetinib:JQ-1 (4:1 mol/mol),MAP2K1;MAP2K2;BRDT,inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
selumetinib:brd-a02303741 (4:1 mol/mol),selumetinib:BRD-A02303741 (4:1 mol/mol),MAP2K1;MAP2K2;DOT1L,inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases
tretinoin:navitoclax (4:1 mol/mol),tretinoin:navitoclax (4:1 mol/mol),RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2,"agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W"
decitabine:navitoclax (2:1 mol/mol),decitabine:navitoclax (2:1 mol/mol),DNMT1;BCL2;BCL2L1;BCL2L2,"inhibitor of DNA methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W"
tretinoin:carboplatin (2:1 mol/mol),tretinoin:carboplatin (2:1 mol/mol),RARA;RARB;RARG,agonist of retinoid acid receptors;inducer of DNA damage
necrostatin-7,necrostatin-7,,inhibitor of necroptosis
pyr-41,PYR-41,UBA1,inhibitor of ubiquitin-activating enzyme in cells
i-bet151,I-BET151,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
lomeguatrib,lomeguatrib,MGMT,inhibitor of methylguanine-DNA methyltransferase
pf-184,PF-184,IKBKB,inhibitor of IKK-2
tanespimycin:gemcitabine (1:1 mol/mol),tanespimycin:gemcitabine (1:1 mol/mol),HSP90AA1;CMPK1;RRM1;TYMS,"inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
docetaxel:tanespimycin (2:1 mol/mol),docetaxel:tanespimycin (2:1 mol/mol),HSP90AA1,inhibitor of microtubule assembly;inhibitor of HSP90
selumetinib:mk-2206 (8:1 mol/mol),selumetinib:MK-2206 (8:1 mol/mol),MAP2K1;MAP2K2;AKT1,inhibitor of MEK1 and MEK2;inhibitor of AKT1
navitoclax:plx-4032 (1:1 mol/mol),navitoclax:PLX-4032 (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;BRAF,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF"
selumetinib:piperlongumine (8:1 mol/mol),selumetinib:piperlongumine (8:1 mol/mol),MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels
tanespimycin:bortezomib (250:1 mol/mol),tanespimycin:bortezomib (250:1 mol/mol),HSP90AA1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HSP90;inhibitor of 26S proteasome
navitoclax:mst-312 (1:1 mol/mol),navitoclax:MST-312 (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;TERT,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of telomerase reverse transcriptase"
carboplatin:etoposide (40:17 mol/mol),carboplatin:etoposide (40:17 mol/mol),TOP2A,inducer of DNA damage;inhibitor of topoisomerase II
piperlongumine:mst-312 (1:1 mol/mol),piperlongumine:MST-312 (1:1 mol/mol),TERT,natural product; modulator of ROS levels;inhibitor of telomerase reverse transcriptase
navitoclax:gemcitabine (1:1 mol/mol),navitoclax:gemcitabine (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;CMPK1;RRM1;TYMS,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
jw-480,JW-480,NCEH1,inhibitor of serine hydrolase enzyme NCEH
bms-195614,BMS-195614,RARA;RARB;RARG,antagonist of retinoic acid receptors
brd-k07442505,BRD-K07442505,BAX,stapled helical peptide activating BAX
brd-k35604418,BRD-K35604418,MCL1,inhibitor of MCL1
sb-743921,SB-743921,KIF11,inhibitor of kinesin 11
gsk525762a,GSK525762A,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
navitoclax:pluripotin (1:1 mol/mol),navitoclax:pluripotin (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;MAPK1;RASAL1,"inhibitor of BCL2, BCL-xL, and BCL-W;promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK"
jq-1:carboplatin (1:1 mol/mol),JQ-1:carboplatin (1:1 mol/mol),BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage
selumetinib:navitoclax (8:1 mol/mol),selumetinib:navitoclax (8:1 mol/mol),MAP2K1;MAP2K2;BCL2;BCL2L1;BCL2L2,"inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W"
selumetinib:decitabine (4:1 mol/mol),selumetinib:decitabine (4:1 mol/mol),MAP2K1;MAP2K2;DNMT1,inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase
decitabine:carboplatin (1:1 mol/mol),decitabine:carboplatin (1:1 mol/mol),DNMT1,inhibitor of DNA methyltransferase;inducer of DNA damage
snx-2112:bortezomib (250:1 mol/mol),SNX-2112:bortezomib (250:1 mol/mol),HSP90AA1;HSP90B1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome
jq-1:navitoclax (2:1 mol/mol),JQ-1:navitoclax (2:1 mol/mol),BRDT;BCL2;BCL2L1;BCL2L2,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2, BCL-xL, and BCL-W"
jq-1:mk-0752 (1:1 mol/mol),JQ-1:MK-0752 (1:1 mol/mol),BRDT;APH1A;NCSTN;PSEN1;PSENEN,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase
brd-a02303741:navitoclax (2:1 mol/mol),BRD-A02303741:navitoclax (2:1 mol/mol),DOT1L;BCL2;BCL2L1;BCL2L2,"inhibitor of histone methyltransferases;inhibitor of BCL2, BCL-xL, and BCL-W"
salermide:plx-4032 (12:1 mol/mol),salermide:PLX-4032 (12:1 mol/mol),SIRT1;SIRT2;BRAF,inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF
unc0638:navitoclax (1:1 mol/mol),UNC0638:navitoclax (1:1 mol/mol),EHMT1;EHMT2;BCL2;BCL2L1;BCL2L2,"inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W"
brd-a02303741:carboplatin (1:1 mol/mol),BRD-A02303741:carboplatin (1:1 mol/mol),DOT1L,inhibitor of histone methyltransferases;inducer of DNA damage
doxorubicin:navitoclax (2:1 mol/mol),doxorubicin:navitoclax (2:1 mol/mol),TOP2A;BCL2;BCL2L1;BCL2L2,"inhibitor of topoisomerase II;inhibitor of BCL2, BCL-xL, and BCL-W"
selumetinib:unc0638 (4:1 mol/mol),selumetinib:UNC0638 (4:1 mol/mol),MAP2K1;MAP2K2;EHMT1;EHMT2,inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase
alisertib:navitoclax (2:1 mol/mol),alisertib:navitoclax (2:1 mol/mol),AURKA;AURKB;BCL2;BCL2L1;BCL2L2,"inhibitor of aurora kinases A and B;inhibitor of BCL2, BCL-xL, and BCL-W"
navitoclax:sorafenib (1:1 mol/mol),navitoclax:sorafenib (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;BRAF;FLT3;KDR;RAF1,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF, CRAF, and VEGFR2"
navitoclax:piperlongumine (1:1 mol/mol),navitoclax:piperlongumine (1:1 mol/mol),BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W;natural product; modulator of ROS levels"
smer-3,SMER-3,CUL1;SKP1,inhibitor of E3-ubiquitin ligase
nvp-adw742,NVP-ADW742,IGF1R,inhibitor of insulin-like growth factor 1 receptor
clofarabine,clofarabine,,inducer of DNA damage
vorinostat:navitoclax (4:1 mol/mol),vorinostat:navitoclax (4:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W"
xl765,XL765,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,inhibitor of mTOR and PI3K kinase acitivities
azd1480,AZD1480,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
ml258,ML258,BCL2L10,inhibitor of BIM-BCL-B interaction
sr1001,SR1001,RORA;RORC,synthetic ROR ligand; suppressor of TH17 differentiation
bardoxolone methyl,bardoxolone methyl,,electrophilic inducer of the NFE2L2-KEAP1 pathway
elocalcitol,elocalcitol,VDR,agonist of vitamin D receptor
bms-270394,BMS-270394,RARG,antagonist of retinoic acid receptor gamma
fluvastatin,fluvastatin,HMGCR,inhibitor of HMG-CoA reductase
azd4547,AZD4547,FGFR1;FGFR2;FGFR3,inhibitor of fibroblast growth factor receptors
hyperforin,hyperforin,TRPC6,agonist of calcium-permeable ion channels
nvp-231,NVP-231,CERK,inhibitor of ceramide kinase
mk-0752,MK-0752,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
semagacestat,semagacestat,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
brd-a05715709,BRD-A05715709,IDH1,putative inhibitor of IDH1 R132H
bosutinib,bosutinib,ABL1;SRC,inhibitor of SRC and ABL1
temsirolimus,temsirolimus,MTOR,inhibitor of mTOR
abiraterone,abiraterone,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"
docetaxel,docetaxel,,inhibitor of microtubule assembly
nelarabine,nelarabine,POLA1,deoxyguanosine analog; inhibitor of DNA synthesis
rigosertib,rigosertib,PIK3CA;PIK3CB;PLK1,inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta
at7867,AT7867,AKT1;AKT2;AKT3;RPS6KB2,inhibitor of AKT1/2/3 and S6K
pd318088,PD318088,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
ku-60019,KU-60019,ATM,inhibitor of ataxia telangiectasia mutated (ATM)
birb-796,BIRB-796,MAPK11;MAPK11;MAPK14,inhibitor of p38 MAPK
kw-2449,KW-2449,AURKA;FLT3,inhibitor of FLT3 and AURKA
raf265,RAF265,BRAF;KDR,ihibitor of VEGFR2 and BRAF
silmitasertib,silmitasertib,CSNK2A1;CSNK2A2,inhibitor of casein kinase 2
brd-k03911514,BRD-K03911514,,stapled helical peptide
brd-k16130065,BRD-K16130065,,stapled helical peptide
momelotinib,momelotinib,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
cal-101,CAL-101,PIK3CD,inhibitor of PI3K catalytic subunit delta
ly-2157299,LY-2157299,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
wp1130,WP1130,UCHL5;USP14;USP5;USP9X,"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37"
osi-027,OSI-027,MTOR,inhibitor of mTORC1 and mTORC2
nvp-bsk805,NVP-BSK805,JAK2,inhibitor of Janus kinase 2
erlotinib:plx-4032 (2:1 mol/mol),erlotinib:PLX-4032 (2:1 mol/mol),EGFR;ERBB2;BRAF,inhibitor of EGFR and HER2;inhibitor of BRAF
pik-93,PIK-93,PIK3CG,inhibitor of PI3K catalytic subunit gamma
azd7762,AZD7762,CHEK1;CHEK2,inhibitor of checkpoint kinases 1 and 2
birinapant,birinapant,DIABLO;XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)
kx2-391,KX2-391,SRC,peptide mimetic; inhibitor of SRC activity in cells
3-cl-ahpc,3-Cl-AHPC,NR0B2,binder of nuclear receptor SHP
brd-k58730230,BRD-K58730230,,stapled helical peptide
brd-k27188169,BRD-K27188169,,stapled helical peptide
khs101,KHS101,TACC3,"binder of TACC3, a component of the centrosome and mitotic spindle"
way-362450,WAY-362450,NR1H4,agonist of farnesoid X receptor
jq-1:vorinostat (2:1 mol/mol),JQ-1:vorinostat (2:1 mol/mol),BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
brd-k13185470,BRD-K13185470,MCL1,stapled helical peptide targeting MCL1
cabozantinib,cabozantinib,FLT3;KDR;MET;RET,"inhibitor of c-MET, VEGFR2/3, and RET"
crizotinib:plx-4032 (2:1 mol/mol),crizotinib:PLX-4032 (2:1 mol/mol),ALK;MET;BRAF,inhibitor of c-MET and ALK;inhibitor of BRAF
brd-m00053801,BRD-M00053801,BCL2,inhibitor of BCL2
kpt185,KPT185,XPO1,inhibitor of exportin 1
pitstop2,pitstop2,CLTA;CLTB;CLTC;CLTCL1,inhibitor of clathrin and clathrin-independent endocytosis
r428,R428,AXL,inhibitor of the tyrosine-protein kinase receptor UFO
ibrutinib,ibrutinib,BTK,inhibitor of Bruton's tyrosine kinase
sotrastaurin,sotrastaurin,PRKCB,inhibitor of protein kinase C beta
a-804598,A-804598,P2RX7,inhibitor of purinergic receptor P2X
brd-k27188169:navitoclax (2:1 mol/mol),BRD-K27188169:navitoclax (2:1 mol/mol),BCL2;BCL2L1;BCL2L2,"stapled helical peptide;inhibitor of BCL2, BCL-xL, and BCL-W"
col-3,COL-3,,analog of tetracycline
abt-199,ABT-199,BCL2,inhibitor of BCL2
etp-46464,ETP-46464,ATM;ATR,inhibitor of serine/threonine-protein kinase ATR
marinopyrrole a,marinopyrrole A,MCL1,natural product; putative inhibitor of MCL1
methylstat,methylstat,KDM3A;KDM4A;KDM4B;KDM4C;KDM4D,inhibitor of lysine specific demethylases
byl-719,BYL-719,PIK3CA,inhibitor of PI3K catalytic subunit alpha
gsk2636771,GSK2636771,PIK3CB,inhibitor of PI3K catalytic subunit beta
sr8278,SR8278,NR1D1,antagonist of Rev-ErbAalpha
jw-74,JW-74,,inhibitor of WNT signaling
necrosulfonamide,necrosulfonamide,,inhibitor of downstream signaling of RIP3 associated with MLKL
hbx-41108,HBX-41108,USP7,inhibitor of the deubiquitinase activity of USP7
palmostatin b,palmostatin B,LYPLA1,inhibitor of acyl-protein thioesterase 1
jw-55,JW-55,TNKS,inhibitor of tankyrase
brd-k03536150,BRD-K03536150,BAX,activator of BAX
brd-k99006945,BRD-K99006945,,screening hit
tivantinib,tivantinib,MET,inhibitor of MET; inhibitor of microtubule assembly
trametinib,trametinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
ro4929097,RO4929097,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
dinaciclib,dinaciclib,CDK1;CDK2;CDK5;CDK9,inhibitor of cyclin-dependent kinases
mln2480,MLN2480,ARAF;BRAF;RAF1,inhibitor of RAF kinases
brd-k51831558,BRD-K51831558,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit
istradefylline,istradefylline,ADORA2A,antagonist of the adenosine A2A receptor
mi-2,MI-2,MEN1,binder of menin; inhibitor of menin-MLL fusion protein
brd-k42260513,BRD-K42260513,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit
alvocidib,alvocidib,CDK1;CDK2;CDK4;CDK6,inhibitor of cyclin-dependent kinases
cbb-1007,CBB-1007,KDM1A,inhibitor of lysine-specific demethylase 1A (LSD1)
gsk-j4,GSK-J4,KDM6A;KDM6B,inhibitor of lysine-specific demethylases
brd-a86708339,BRD-A86708339,,screening hit
pf-3758309,PF-3758309,PAK4,inhibitor of serine/threonine p21-activating kinase 4
dabrafenib,dabrafenib,BRAF,inhibitor of BRAF
sz4ta2,SZ4TA2,BCL2L1,inhibitor of BCL-xL
at13387,AT13387,HSP90AA1,inhibitor of HSP90
bcl-lzh-4,BCL-LZH-4,,"inhibitor of BCL2, BCL-xL, and MCL1"
skepinone-l,skepinone-L,MAPK14,inhibitor of p38 MAPK
brd-k34222889,BRD-K34222889,,analog of the natural product piperlongumine
pf-4800567 hydrochloride,PF-4800567 hydrochloride,CSNK1D;CSNK1E,inhibitor of casein kinase isoforms delta and epsilon
avicin d,avicin D,,natural product
brd9876:mk-1775 (4:1 mol/mol),BRD9876:MK-1775 (4:1 mol/mol),WEE1,screening hit;inhibitor of WEE1
brd-k30748066,BRD-K30748066,CDK9,inhibitor of CDK9
linsitinib,linsitinib,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor and insulin receptor
at-406,AT-406,XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)
