alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
dinaciclib,"CDK inhibitor, esp CDK1, 2, 5, and 9"
clofarabine,purine nucleoside antimetabolite
pyrazolanthrone,Not Clinically Relevant
tw-37,Not Clinically Relevant
regorafenib,VEGFR2-TIE2 inhibitor 
leptomycin b,Not Clinically Relevant
simvastatin,"HMG-CoA reductase inhibitor,"
gsk-j4,Not Clinically Relevant
brd-a02303741,Not Clinically Relevant
mln2480,"TAK-580, pan-Raf kinase inhibitor"
fulvestrant,selective estrogen receptor degrader (SERD)
bleomycin a2,"Induces DNA strand breaks, inhibits incorporation of thymidine into DNA strands."
mk-0752,Notch (gamma secretase) inhibitor
salermide,Not Clinically Relevant
gsk690693,Not Clinically Relevant
alvocidib,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9"
smer-3,Not Clinically Relevant
aew541,Not Clinically Relevant
cay10594,Not Clinically Relevant
tg-101348,JAK2 inhibitor
ex-527,SIRT1 inhibitor
tamatinib,(R4060) inhibitor of IgE and IgG-mediated activation of Fc receptor signaling. Primary target is Syk
oligomycin a,Not Clinically Relevant
brd9876,Not Clinically Relevant
ci-976,Not Clinically Relevant
brd8958,Not Clinically Relevant
obatoclax,Not Clinically Relevant
gw-405833,Not Clinically Relevant
tigecycline,antibiotic used to treat a number of bacterial infections
irinotecan,"aka CPT-11, inhibitor of Topo I"
brd-k27224038,Not Clinically Relevant
ml320,Not Clinically Relevant
le-135,Not Clinically Relevant
tae684,Not Clinically Relevant
brd-k94991378,Not Clinically Relevant
wp1130,Not Clinically Relevant
myricetin,Not Clinically Relevant
palmostatin b,Not Clinically Relevant
cudc-101,Not Clinically Relevant
pf-750,Not Clinically Relevant
dexamethasone,"synthetic corticosteroid, used to reduce inflammation"
sirolimus,"rapamycin, mTOR inhibitor"
lovastatin,"HMG-CoA reductase inhibitor,"
ku 0060648,Not Clinically Relevant
brd-k41334119,Not Clinically Relevant
ml312,Not Clinically Relevant
unc0321,Not Clinically Relevant
brd-k01737880,Not Clinically Relevant
brd4132,Not Clinically Relevant
sid 26681509,Not Clinically Relevant
thz-2-102-1,Not Clinically Relevant
stemregenin 1,Not Clinically Relevant
sns-032,"CDK inhibitor, esp CDK2 , 7 and 9 "
mitomycin-c,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
brd-k30748066,Not Clinically Relevant
imatinib,"Bcr-abl, c-kit and PDGFR inhibitor"
serdemetan,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
paclitaxel,disrupts microtubule dynamics
doxorubicin,"Topo II inhibitor, DNA intercalator"
methotrexate,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
raf265,inhibitor of C-Raf/B-Raf/B-Raf V600E
bi-2536,"Plk1 inhibitor, less active against Plk2 and Plk3."
gemcitabine,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
pik-93,Not Clinically Relevant
docetaxel,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
nutlin-3,"Mdm2 antagonist, stabilizes p53 "
snx-2112,Not Clinically Relevant
osi-930," inhibitor of Kit, KDR and CSF-1R; also potent to Flt-1, c-Raf and Lck"
mg-132,Not Clinically Relevant
azd7762, Chk1 / Chk2 inhibitor
tamoxifen,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
zstk474,"PI3K inhibitor, inhibits all four PI3K isoforms, but most active against PI3Kδ"
piperlongumine,Not Clinically Relevant
mk-2206,Akt1/2/3 inhibitor
cabozantinib,"MET, AXL, VEGFR and RET inhibitor"
bms-536924,Not Clinically Relevant
nvp-tae684,Not Clinically Relevant
azd8055,mTOR inhibitor
sunitinib,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
bexarotene,"retinoid that selectively activates retinoid X receptors (RXRs), induces cell differentiation and apoptosis "
temozolomide,alkylating agent
ku-55933,Not Clinically Relevant
pazopanib,"KIT, FGFR, PDGFR and VEGFR inhibitor"
pevonedistat,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)"
temsirolimus,Not Clinically Relevant
tretinoin,Retinoid
chir-99021,Not Clinically Relevant
masitinib,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs"
tivozanib,VEGFR inhibitor
pac-1,Not Clinically Relevant
crizotinib,"ALK, ROS1 and MET inhibitor"
parthenolide,Not Clinically Relevant
azd6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ "
sorafenib,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
brd-k71935468,Not Clinically Relevant
ruxolitinib,"JAK1/2 inhibitor, used for myelofibrosis and polycythemia vera"
brd-k33514849,Not Clinically Relevant
quizartinib,Flt3 inhibitor
linifanib,"RTK inhibitor, targets VEGFR, PDGFR, KDR, and CSF-1R"
sepantronium bromide,"YM155 (Sepantronium Bromide), survivin suppressant "
vandetanib,"VEGFR, EGFR and RET inhibitor"
bec,Not Clinically Relevant
dacinostat,Not Clinically Relevant
ipa-3,Not Clinically Relevant
valdecoxib,"NSAID used in the treatment of osteoarthritis, rheumatoid arthritis"
mln2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
brd-k09344309,Not Clinically Relevant
brd-k97651142,Not Clinically Relevant
betulinic acid,Not Clinically Relevant
avicin d,Not Clinically Relevant
brd-k14844214,Not Clinically Relevant
azd0530,"kinase inhibitor, with selectivity against Src and Bcr-Abl"
phenformin,Anti-diabetic AMPK Activator - mTOR Inhibitor - Autophagy inducer
bafilomycin a1,Not Clinically Relevant
khs101,Not Clinically Relevant
brd-k63431240,Not Clinically Relevant
brefeldin a,Not Clinically Relevant
col-3,matrix metalloproteinase (MMP) inhibitor
vinorelbine,Not Clinically Relevant
dmog,Not Clinically Relevant
sb590885,Not Clinically Relevant
azd7545,Not Clinically Relevant
tosedostat,inhibitor of the M1 family of aminopeptidases
ng-25,Not Clinically Relevant
ml258,Not Clinically Relevant
c6-ceramide,Not Clinically Relevant
pd-0332991,CDK4/6 inhibitor
tl-1-85,Not Clinically Relevant
tki258,Not Clinically Relevant
spautin-1,Not Clinically Relevant
cid-5951923,Not Clinically Relevant
omipalisib,Not Clinically Relevant
ver-155008,Not Clinically Relevant
brd-k55116708,Not Clinically Relevant
lestauritinib,Not Clinically Relevant
17-aag,Not Clinically Relevant
at-7519,Not Clinically Relevant
jq1,Not Clinically Relevant
epothilone b,Not Clinically Relevant
sr8278,Not Clinically Relevant
myriocin,Not Clinically Relevant
brd-k48334597,Not Clinically Relevant
zd-6474,"VEGFR, EGFR and RET inhibitor"
cyanoquinoline 11,Not Clinically Relevant
vinblastine,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
cp466722,Not Clinically Relevant
nelarabine,"purine nucleoside analog, which causes inhibition of DNA synthesis and cytotoxicity"
elesclomol,Not Clinically Relevant
wz8040,Not Clinically Relevant
gw843682x,Not Clinically Relevant
sj-172550,Not Clinically Relevant
pluripotin,Not Clinically Relevant
ml334 diastereomer,Not Clinically Relevant
austocystin d,Not Clinically Relevant
brd-k48477130,Not Clinically Relevant
osu-03012,Not Clinically Relevant
pfi-1,Not Clinically Relevant
aa-cocf3,Not Clinically Relevant
vu0155056,Not Clinically Relevant
way-362450,Not Clinically Relevant
bay-61-3606,Not Clinically Relevant
canertinib,"pan-ErbB inhibitor for EGFR and ErbB2,  no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. "
pd-0325901,Not Clinically Relevant
at13387,Selective potent Hsp90 inhibitor
bx796,Not Clinically Relevant
a-804598,Not Clinically Relevant
shikonin,Not Clinically Relevant
gdc-0879,Not Clinically Relevant
neratinib,Her2 and EGFR inhibitor
thz-2-49,Not Clinically Relevant
l-685458,Not Clinically Relevant
nilotinib,"inhibits the kinases BCR-ABL,[26] KIT, LCK, EPHA3, EPHA8, DDR1, DDR2, PDGFRB, MAPK11 and ZAK"
brd-k71781559,Not Clinically Relevant
saracatinib,"kinase inhibitor, with selectivity against Src and Bcr-Abl"
abiraterone,steroidal CYP17A1 inhibitor and androgen synthesis inhibitor 
gsk650394,Not Clinically Relevant
palbociclib,CDK4/6 inhibitor
azacitidine,"Nucleoside analog, inhibitor of DNA methylation and DNA/RNA synthesis (Vidaza)"
plx4720,Not Clinically Relevant
fumonisin b1,Not Clinically Relevant
ifosfamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA"
bcl-lzh-4,Not Clinically Relevant
brd-k04800985,Not Clinically Relevant
brd-a05715709,Not Clinically Relevant
vaf-347,Not Clinically Relevant
brd-k50799972,Not Clinically Relevant
yk-4-279,Not Clinically Relevant
pictilisib,"Pictilisib, potent inhibitor of PI3Kα/δ, with modest selectivity against p110β (11-fold) and p110γ"
brd-k27986637,Not Clinically Relevant
brd-k33199242,Not Clinically Relevant
brd-k64610608,Not Clinically Relevant
procarbazine,alkylating agent
pd318088,Not Clinically Relevant
brd9647,Not Clinically Relevant
kin001-244,Not Clinically Relevant
pf-543,Not Clinically Relevant
ml029,Not Clinically Relevant
panobinostat,HDAC inhibitor
cytarabine,"antimetabolite, causes DNA damage,  inhibits both DNA and RNA polymerases and nucleotide reductase enzymes needed for DNA synthesis"
jq12,Not Clinically Relevant
ipr-456,Not Clinically Relevant
azd6244,MEK1 inhibitor
fsc231,Not Clinically Relevant
mi-1,Not Clinically Relevant
erismodegib,Hedgehog (Smoothened) antagonist (LDE225)
thapsigargin,Not Clinically Relevant
bleomycin,"Induces DNA strand breaks, inhibits incorporation of thymidine into DNA strands."
seliciclib,Not Clinically Relevant
brd-k17060750,Not Clinically Relevant
cct-018159,Not Clinically Relevant
lapatinib,HER2/EGFR inhibitor
luminespib,Not Clinically Relevant
as605240,Not Clinically Relevant
s-trityl-l-cysteine,Not Clinically Relevant
gsk4112,Not Clinically Relevant
xmd8-92,Not Clinically Relevant
isonicotinohydroxamic acid,Not Clinically Relevant
brd-k16147474,Not Clinically Relevant
istradefylline,"adenosine A2A receptor antagonist, useful in the treatment of Parkinson's disease"
dactolisib,PI3K/mTOR inhibitor
brd-k19103580,Not Clinically Relevant
sgc0946,Not Clinically Relevant
cmk,Not Clinically Relevant
brd-k09587429,Not Clinically Relevant
veliparib,PARP inhibitor.
jnk-9l,Not Clinically Relevant
cbb-1007,Not Clinically Relevant
zibotentan,Not Clinically Relevant
gsk269962a,Not Clinically Relevant
etomoxir,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
pd 153035,Not Clinically Relevant
erlotinib,EGFR inhibitor (Tarceva)
embelin,Not Clinically Relevant
ponatinib,Bcr-abl inhibitor
bortezomib,proteasome inhibitor (Velcade)
obatoclax mesylate,Not Clinically Relevant
bleomycin (50 um),Not Clinically Relevant
ibrutinib,BTK kinase inhibitor
ic-87114,Not Clinically Relevant
a-443654,Not Clinically Relevant
tipifarnib,Not Clinically Relevant
midostaurin,Not Clinically Relevant
pd0325901,Not Clinically Relevant
salubrinal,Not Clinically Relevant
pf-562271,Not Clinically Relevant
pyrimethamine,Not Clinically Relevant
brd-k52037352,Not Clinically Relevant
trametinib,MEK inhibitor (MEK1 and MEK2)
dasatinib,"BCR-Abl, Src, c-Kit inhibitor"
(5z)-7-oxozeaenol,Not Clinically Relevant
enzastaurin,Not Clinically Relevant
unc1215,Not Clinically Relevant
lfm-a13,Not Clinically Relevant
aica ribonucleotide,Not Clinically Relevant
nvp-bhg712,Not Clinically Relevant
wh-4-023,Not Clinically Relevant
ql-viii-58,Not Clinically Relevant
fh535,Not Clinically Relevant
sb-431542,Not Clinically Relevant
birinapant,"SMAC mimetic, mostly to cIAP1, less potent against XIAP."
hg6-64-1,Not Clinically Relevant
zebularine,Not Clinically Relevant
tanespimycin,HSP90 inhibitor
tgx221,Not Clinically Relevant
bosutinib,"BCR-Abl, Src, Lyn and Hck inhibitor"
as601245,Not Clinically Relevant
lenalidomide,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
bms-509744,Not Clinically Relevant
xmd11-85h,Not Clinically Relevant
akt inhibitor viii,Not Clinically Relevant
stf-62247,Not Clinically Relevant
refametinib,Not Clinically Relevant
bicalutamide,"antiandrogen, used to treat prostate cancer"
sl0101,Not Clinically Relevant
doramapimod,Not Clinically Relevant
gefitinib,EGFR inhibitor (Iressa)
selisistat,SIRT1 inhibitor
pf-4708671,Not Clinically Relevant
a-770041,Not Clinically Relevant
o-6-benzylguanine,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair"
gsk1904529a,Not Clinically Relevant
eht-1864,Not Clinically Relevant
fmk,Not Clinically Relevant
xmd15-27,Not Clinically Relevant
pha-665752,Not Clinically Relevant
xmd8-85,Not Clinically Relevant
plx-4720,Not Clinically Relevant
avagacestat,Not Clinically Relevant
selumetinib,MEK1 inhibitor
cgp-60474,Not Clinically Relevant
fti-277,Not Clinically Relevant
nu7441,Not Clinically Relevant
cct007093,Not Clinically Relevant
cgp-082996,Not Clinically Relevant
iox2,Not Clinically Relevant
fr-180204,Not Clinically Relevant
ci-1040,Not Clinically Relevant
kin001-236,Not Clinically Relevant
jw-7-52-1,Not Clinically Relevant
jnk inhibitor viii,Not Clinically Relevant
whi-p97,Not Clinically Relevant
xav939,Not Clinically Relevant
afatinib,EGFR and ErbB2 inhibitor
tozasertib,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C"
tak-715,Not Clinically Relevant
vismodegib,Hedgehog (Smoothened) antagonist (GDC-0449)
z-llnle-cho,Not Clinically Relevant
ro-3306,Not Clinically Relevant
bryostatin 1,Not Clinically Relevant
bix02189,Not Clinically Relevant
sb216763,Not Clinically Relevant
681640,Not Clinically Relevant
cp724714,Not Clinically Relevant
rapamycin,"rapamycin, mTOR inhibitor"
dabrafenib,Braf (V600E) inhibitor
motesanib,Not Clinically Relevant
pelitinib,Not Clinically Relevant
az628,Not Clinically Relevant
kin001-260,Not Clinically Relevant
gnf-2,Not Clinically Relevant
qs11,Not Clinically Relevant
rtrail,Not Clinically Relevant
ql-xi-92,Not Clinically Relevant
t0901317,Not Clinically Relevant
pd173074,Not Clinically Relevant
nutlin-3a (-),Not Clinically Relevant
cetuximab,Not Clinically Relevant
y-39983,Not Clinically Relevant
idelalisib,"Idelalisib,  PI3K/p110δ inhibitor"
wz-1-84,Not Clinically Relevant
cyclopamine,Not Clinically Relevant
vx-11e,Not Clinically Relevant
gw441756,Not Clinically Relevant
vnlg/124,Not Clinically Relevant
